source	target	weight
tgn,7013962	tgn,7014299	105
tgn,7013962	tgn,7014278	328
tgn,7013962	tgn,7014231	2091
tgn,7013962	tgn,7014197	406
tgn,7013962	tgn,7014175	321
tgn,7013962	tgn,7014060	412
tgn,7013962	tgn,7013988	1198
tgn,7013962	tgn,7013981	235
tgn,7013962	tgn,7013980	68
tgn,7013962	tgn,7013972	620
tgn,7013962	tgn,7013964	9934
tgn,7013962	tgn,7013962	9868
tgn,7013952	tgn,7021610	16
tgn,7013952	tgn,7018995	24
tgn,7013952	tgn,7018023	38
tgn,7013952	tgn,7017750	17
tgn,7013952	tgn,7017708	18
tgn,7013952	tgn,7017649	13
tgn,7013952	tgn,7017544	2
tgn,7013952	tgn,7017498	6
tgn,7013952	tgn,7017496	11
tgn,7013952	tgn,7017444	38
tgn,7013952	tgn,7016154	41
tgn,7013952	tgn,7016129	16
tgn,7013952	tgn,7014729	3
tgn,7013952	tgn,7014664	22
tgn,7013952	tgn,7014631	17
tgn,7013952	tgn,7014629	13
tgn,7013952	tgn,7014620	13
tgn,7013952	tgn,7014538	4
tgn,7013952	tgn,7014487	46
tgn,7013952	tgn,7014456	12
tgn,7013952	tgn,7014444	25
tgn,7013952	tgn,7014406	60
tgn,7013952	tgn,7014404	17
tgn,7013952	tgn,7014345	13
tgn,7013952	tgn,7014299	4
tgn,7013952	tgn,7014278	13
tgn,7013952	tgn,7014231	76
tgn,7013952	tgn,7014197	8
tgn,7013952	tgn,7014175	4
tgn,7013952	tgn,7014060	3
tgn,7013952	tgn,7013988	27
tgn,7013952	tgn,7013981	6
tgn,7013952	tgn,7013980	3
tgn,7013952	tgn,7013972	25
tgn,7013952	tgn,7013964	288
tgn,7013952	tgn,7013962	285
tgn,7013952	tgn,7013952	40
tgn,7013949	tgn,7021610	14
tgn,7013949	tgn,7018995	7
tgn,7013949	tgn,7018023	13
tgn,7013949	tgn,7017750	18
tgn,7013949	tgn,7017708	2
tgn,7013949	tgn,7017649	13
